symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
PAMEL,2021-01-06,2026-05-08,1336,True,True,True
PAPIL,2021-01-06,2026-05-08,1336,True,True,True
PARSN,2021-01-06,2026-05-08,1336,True,True,True
PASEU,2023-06-14,2026-05-08,728,True,True,True
PATEK,2024-02-13,2026-05-08,559,True,True,True
PCILT,2021-12-01,2026-05-08,1112,True,True,True
PEKGY,2021-01-06,2026-05-08,1336,True,True,True
PENGD,2021-01-06,2026-05-08,1336,True,True,True
PENTA,2021-05-17,2026-05-08,1246,True,True,True
PETKM,2021-01-06,2026-05-08,1336,True,True,True
PETUN,2021-01-06,2026-05-08,1336,True,True,True
PGSUS,2021-01-06,2026-05-08,1336,True,True,True
PINSU,2021-01-06,2026-05-08,1336,True,True,True
PKART,2021-01-06,2026-05-08,1336,True,True,True
PKENT,2021-01-06,2026-05-08,1336,True,True,True
PLTUR,2022-12-14,2026-05-08,850,True,True,True
PNLSN,2022-02-18,2026-05-08,1055,True,True,True
PNSUT,2021-01-06,2026-05-08,1336,True,True,True
POLHO,2021-01-06,2026-05-08,1333,True,True,True
POLTK,2021-01-06,2026-05-08,1336,True,True,True
PRDGS,2022-06-15,2026-05-08,976,True,True,True
PRKAB,2021-01-06,2026-05-08,1336,True,True,True
PRKME,2021-01-06,2026-05-08,1336,True,True,True
PRZMA,2021-01-06,2026-05-08,1336,True,True,True
PSDTC,2021-01-06,2026-05-08,1336,True,True,True
PSGYO,2021-12-16,2026-05-08,1101,True,True,True
QUAGR,2021-04-09,2026-05-08,1269,True,True,True
RALYH,2021-01-06,2026-05-08,1336,True,True,True
RAYSG,2021-01-06,2026-05-08,1336,True,True,True
REEDR,2023-09-21,2026-05-08,661,True,True,True
RGYAS,2024-04-26,2026-05-08,510,True,True,True
RNPOL,2021-12-06,2026-05-08,1109,True,True,True
RODRG,2021-01-06,2026-05-08,1336,True,True,True
RTALB,2021-01-06,2026-05-08,1336,True,True,True
RUBNS,2022-07-06,2026-05-08,960,True,True,True
RUZYE,2021-01-06,2026-05-08,1336,True,True,True
RYGYO,2021-01-06,2026-05-08,1336,True,True,True
RYSAS,2021-01-06,2026-05-08,1336,True,True,True
SAFKR,2021-01-06,2026-05-08,1336,True,True,True
SAHOL,2021-01-06,2026-05-08,1336,True,True,True
SAMAT,2021-01-06,2026-05-08,1336,True,True,True
SANEL,2021-01-06,2026-05-08,1336,True,True,True
SANFM,2021-01-06,2026-05-08,1336,True,True,True
SANKO,2021-01-06,2026-05-08,1336,True,True,True
SARKY,2021-01-06,2026-05-08,1336,True,True,True
SASA,2021-01-06,2026-05-08,1336,True,True,True
SAYAS,2021-01-06,2026-05-08,1336,True,True,True
SDTTR,2023-01-04,2026-05-08,835,True,True,True
SEGMN,2024-07-04,2026-05-08,465,True,True,True
SEGYO,2022-06-07,2026-05-08,981,True,True,True
SEKFK,2021-01-06,2026-05-08,1336,True,True,True
SEKUR,2021-01-06,2026-05-08,1336,True,True,True
SELEC,2021-01-06,2026-05-08,1336,True,True,True
SELVA,2021-06-25,2026-05-08,1218,True,True,True
SERNT,2025-02-04,2026-05-08,316,False,True,True
SEYKM,2021-01-06,2026-05-08,1336,True,True,True
SILVR,2021-01-06,2026-05-08,1336,True,True,True
SISE,2021-01-06,2026-05-08,1336,True,True,True
SKBNK,2021-01-06,2026-05-08,1336,True,True,True
SKTAS,2021-01-06,2026-05-08,1336,True,True,True
SKYLP,2021-01-06,2026-05-08,1333,True,True,True
SKYMD,2023-12-06,2026-05-08,607,True,True,True
SMART,2021-01-06,2026-05-08,1336,True,True,True
SMRTG,2022-03-24,2026-05-08,1031,True,True,True
SMRVA,2024-12-18,2026-05-08,349,True,True,True
SNGYO,2021-01-06,2026-05-08,1336,True,True,True
SNICA,2022-11-24,2026-05-08,864,True,True,True
SOKE,2023-01-12,2026-05-08,829,True,True,True
SOKM,2021-01-06,2026-05-08,1336,True,True,True
SONME,2021-01-06,2026-05-08,1336,True,True,True
SRVGY,2021-01-06,2026-05-08,1336,True,True,True
SUNTK,2022-05-20,2026-05-08,994,True,True,True
SURGY,2023-12-14,2026-05-08,601,True,True,True
SUWEN,2022-04-21,2026-05-08,1011,True,True,True
TABGD,2023-10-26,2026-05-08,636,True,True,True
